protocol,protocol_tag,seed,best_strategy_by_val_macro_f1,best_val_macro_f1,ensemble_test_accuracy,ensemble_test_macro_f1,ensemble_test_weighted_f1,ensemble_test_macro_precision,ensemble_test_macro_recall,densenet_test_accuracy,densenet_test_macro_f1,densenet_test_weighted_f1,effnet_test_accuracy,effnet_test_macro_f1,effnet_test_weighted_f1,ensemble_improvement_acc_vs_best_single,ensemble_improvement_f1_vs_best_single,beat_sikder_accuracy_0_9744,beat_sikder_macro_f1_0_9744,hit_98_accuracy,ensemble_val_softmax_path,ensemble_test_softmax_path,ensemble_test_predictions_csv,per_class_f1_csv,classification_report_json,confusion_matrix_csv
A,A,42,geometric_mean,0.9368410755854754,0.9768421052631578,0.9714734729925544,0.9766680901410106,0.9733851567584981,0.9710256220246812,0.9768421052631578,0.9679481877967522,0.9765866782914443,0.9673684210526315,0.9638072420658274,0.9672729429638695,0.0,0.003525285195802197,True,False,False,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_A_seed42_val_softmax.npy,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_A_seed42_test_softmax.npy,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_A_seed42_test_predictions.csv,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_A_seed42_per_class_f1.csv,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_A_seed42_classification_report.json,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_A_seed42_confusion_matrix.csv
A,A,123,geometric_mean,0.9273361106999817,0.9636842105263158,0.9549774246304245,0.9632457772510988,0.9632102037639061,0.949431272785369,0.9621052631578947,0.9465997627086068,0.961809485573586,0.9536842105263158,0.9506574474580013,0.9529130080913476,0.0015789473684211242,0.004319977172423162,False,False,False,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_A_seed123_val_softmax.npy,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_A_seed123_test_softmax.npy,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_A_seed123_test_predictions.csv,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_A_seed123_per_class_f1.csv,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_A_seed123_classification_report.json,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_A_seed123_confusion_matrix.csv
A,A,456,simple_average,0.9329821210685,0.968421052631579,0.9579978539385106,0.9678660432458994,0.9664596786350091,0.9535244910135775,0.9694736842105263,0.9615329078837096,0.968926428825917,0.958421052631579,0.9477368646855917,0.9576772137547689,-0.001052631578947305,-0.0035350539451990404,False,False,False,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_A_seed456_val_softmax.npy,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_A_seed456_test_softmax.npy,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_A_seed456_test_predictions.csv,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_A_seed456_per_class_f1.csv,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_A_seed456_classification_report.json,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_A_seed456_confusion_matrix.csv
A,A,789,geometric_mean,0.93823093634441,0.9747368421052631,0.970752330825526,0.9746227134369546,0.9769341957449843,0.9664427250126402,0.9715789473684211,0.9652420088400974,0.9716509623998297,0.9742105263157895,0.9699886173528542,0.9739655859927699,0.000526315789473597,0.0007637134726717898,True,False,False,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_A_seed789_val_softmax.npy,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_A_seed789_test_softmax.npy,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_A_seed789_test_predictions.csv,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_A_seed789_per_class_f1.csv,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_A_seed789_classification_report.json,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_A_seed789_confusion_matrix.csv
A,A,1024,max_confidence,0.9345137000810189,0.9710526315789474,0.9649011057443059,0.9707385854906092,0.9714401393264994,0.9604368281788088,0.968421052631579,0.9575226104820461,0.9678856498175527,0.9715789473684211,0.9690175770789098,0.9713036800393904,-0.000526315789473708,-0.004116471334603911,False,False,False,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_A_seed1024_val_softmax.npy,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_A_seed1024_test_softmax.npy,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_A_seed1024_test_predictions.csv,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_A_seed1024_per_class_f1.csv,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_A_seed1024_classification_report.json,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_A_seed1024_confusion_matrix.csv
B_G14,B_G14,42,max_confidence,0.9145530492344405,0.9668943772990016,0.9684530777834282,0.9656061046000227,0.9791937272522802,0.9612727592122571,0.9637414608512874,0.9642865436934847,0.9622252945074199,0.9663688912243825,0.9674836946715492,0.9654047172802792,0.0005254860746191081,0.0009693831118789964,False,False,False,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_B_G14_seed42_val_softmax.npy,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_B_G14_seed42_test_softmax.npy,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_B_G14_seed42_test_predictions.csv,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_B_G14_seed42_per_class_f1.csv,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_B_G14_seed42_classification_report.json,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_B_G14_seed42_confusion_matrix.csv
B_G14,B_G14,123,simple_average,0.9170503438297607,0.9637414608512874,0.968826050650777,0.962173526443381,0.9793156468350056,0.9620458480522915,0.9569101418812401,0.9583997418813687,0.9563244982030671,0.9569101418812401,0.9608617400124871,0.9543688430686073,0.006831318970047295,0.00796431063828984,False,False,False,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_B_G14_seed123_val_softmax.npy,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_B_G14_seed123_test_softmax.npy,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_B_G14_seed123_test_predictions.csv,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_B_G14_seed123_per_class_f1.csv,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_B_G14_seed123_classification_report.json,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_B_G14_seed123_confusion_matrix.csv
B_G14,B_G14,456,simple_average,0.921116801899612,0.9674198633736206,0.9653146749432658,0.9667080091523326,0.9751819158239504,0.957780826611958,0.9637414608512874,0.9607760149017397,0.9631618257947739,0.9637414608512874,0.962180190930339,0.9629049349141009,0.0036784025223332018,0.0031344840129268192,False,False,False,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_B_G14_seed456_val_softmax.npy,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_B_G14_seed456_test_softmax.npy,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_B_G14_seed456_test_predictions.csv,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_B_G14_seed456_per_class_f1.csv,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_B_G14_seed456_classification_report.json,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_B_G14_seed456_confusion_matrix.csv
B_G14,B_G14,789,simple_average,0.9175260198907178,0.9721492380451918,0.9735042502707848,0.9717471949242361,0.9777817292825911,0.970114125297058,0.9721492380451918,0.9716460975012013,0.9717461234264083,0.9626904887020494,0.9635709634209422,0.9615770973765178,0.0,0.0018581527695834543,False,False,False,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_B_G14_seed789_val_softmax.npy,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_B_G14_seed789_test_softmax.npy,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_B_G14_seed789_test_predictions.csv,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_B_G14_seed789_per_class_f1.csv,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_B_G14_seed789_classification_report.json,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_B_G14_seed789_confusion_matrix.csv
B_G14,B_G14,1024,max_confidence,0.9146668364775818,0.9611140304781923,0.9626659074865176,0.9592373818883894,0.9708535659635039,0.9585840224852674,0.9616395165528113,0.9625339031511161,0.9599815879619595,0.9527062532842879,0.9535071860718496,0.9509427576283949,-0.0005254860746189971,0.00013200433540150325,False,False,False,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_B_G14_seed1024_val_softmax.npy,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_B_G14_seed1024_test_softmax.npy,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_B_G14_seed1024_test_predictions.csv,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_B_G14_seed1024_per_class_f1.csv,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_B_G14_seed1024_classification_report.json,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_B_G14_seed1024_confusion_matrix.csv
A_clean_strict,A_clean_strict,42,max_confidence,0.9314358049953378,0.9721052631578947,0.9673377714458621,0.9718602512888291,0.9752523867193961,0.9617398745837675,0.9689473684210527,0.9577258936919062,0.96848299535207,0.9726315789473684,0.9682532735018692,0.9725228054616328,-0.000526315789473708,-0.0009155020560071003,False,False,False,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_A_clean_strict_seed42_val_softmax.npy,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_A_clean_strict_seed42_test_softmax.npy,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_A_clean_strict_seed42_test_predictions.csv,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_A_clean_strict_seed42_per_class_f1.csv,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_A_clean_strict_seed42_classification_report.json,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_A_clean_strict_seed42_confusion_matrix.csv
A_clean_strict,A_clean_strict,123,geometric_mean,0.9348612968121428,0.9710526315789474,0.9636144070281146,0.9706615148001868,0.9729029742463507,0.9574314009955912,0.9752631578947368,0.9681312709758204,0.9751486344157896,0.9589473684210527,0.9538605534074638,0.9583126198391544,-0.004210526315789442,-0.004516863947705785,False,False,False,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_A_clean_strict_seed123_val_softmax.npy,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_A_clean_strict_seed123_test_softmax.npy,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_A_clean_strict_seed123_test_predictions.csv,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_A_clean_strict_seed123_per_class_f1.csv,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_A_clean_strict_seed123_classification_report.json,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_A_clean_strict_seed123_confusion_matrix.csv
A_clean_strict,A_clean_strict,456,max_confidence,0.9332515698567984,0.9715789473684211,0.9652834893332024,0.9713745569541206,0.9707379430931783,0.961819745191253,0.9742105263157895,0.9632507929528,0.9739689884752217,0.9626315789473684,0.953648366730108,0.9621910593981493,-0.0026315789473684292,0.0020326963804023768,False,False,False,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_A_clean_strict_seed456_val_softmax.npy,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_A_clean_strict_seed456_test_softmax.npy,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_A_clean_strict_seed456_test_predictions.csv,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_A_clean_strict_seed456_per_class_f1.csv,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_A_clean_strict_seed456_classification_report.json,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_A_clean_strict_seed456_confusion_matrix.csv
C_G09,C_G09,42,geometric_mean,0.9355338214011877,0.9617965926690759,0.9369925665517476,0.9597771041829063,0.9623465102423127,0.922511832404977,0.9592152813629323,0.9323753176034201,0.9570822091845883,0.9576664945792462,0.9331261176710534,0.9555165002686599,0.0025813113061435855,0.0038664488806942066,False,False,False,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_C_G09_seed42_val_softmax.npy,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_C_G09_seed42_test_softmax.npy,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_C_G09_seed42_test_predictions.csv,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_C_G09_seed42_per_class_f1.csv,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_C_G09_seed42_classification_report.json,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_C_G09_seed42_confusion_matrix.csv
C_G09,C_G09,123,geometric_mean,0.9322326691547574,0.9648941662364481,0.942354706240593,0.9627095303260929,0.9759497022982071,0.9250496239178128,0.9612803304078472,0.9382616446138015,0.959285586295217,0.9612803304078472,0.9339951270287238,0.9595133743620943,0.0036138358286008643,0.004093061626791572,False,False,False,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_C_G09_seed123_val_softmax.npy,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_C_G09_seed123_test_softmax.npy,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_C_G09_seed123_test_predictions.csv,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_C_G09_seed123_per_class_f1.csv,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_C_G09_seed123_classification_report.json,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_C_G09_seed123_confusion_matrix.csv
C_G09,C_G09,456,max_confidence,0.9339264464528182,0.963345379452762,0.9401061718655415,0.9612757072876573,0.9680655921209594,0.9252915663075607,0.9581827568404749,0.9329362578628897,0.9561576622337986,0.9612803304078472,0.9337893390807391,0.9586828000942849,0.0020650490449147796,0.006316832784802329,False,False,False,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_C_G09_seed456_val_softmax.npy,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_C_G09_seed456_test_softmax.npy,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_C_G09_seed456_test_predictions.csv,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_C_G09_seed456_per_class_f1.csv,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_C_G09_seed456_classification_report.json,/content/drive/MyDrive/Riset_TEM_Virus/outputs/cp4_ensemble/Ensemble2_C_G09_seed456_confusion_matrix.csv
